Frame index, Frame time (ms), DLSS-G Frame Duration (ms), CPU memory (MB), GPU memory (MB)
193, 7.44, 7.44, 0.00, 0.00
194, 8.30, 8.30, 0.00, 0.00
195, 8.10, 8.10, 0.00, 0.00
196, 8.41, 8.41, 0.00, 0.00
197, 8.96, 8.96, 0.00, 0.00
198, 7.54, 7.54, 0.00, 0.00
199, 7.46, 7.46, 0.00, 0.00
200, 7.48, 7.48, 0.00, 0.00
201, 7.50, 7.50, 0.00, 0.00
202, 8.32, 8.32, 0.00, 0.00
203, 8.48, 8.48, 0.00, 0.00
204, 7.70, 7.70, 0.00, 0.00
205, 7.85, 7.85, 0.00, 0.00
206, 7.68, 7.68, 0.00, 0.00
207, 8.38, 8.38, 0.00, 0.00
208, 7.48, 7.48, 0.00, 0.00
209, 8.38, 8.38, 0.00, 0.00
210, 7.70, 7.70, 0.00, 0.00
211, 8.03, 8.03, 0.00, 0.00
212, 7.94, 7.94, 0.00, 0.00
213, 8.22, 8.22, 0.00, 0.00
214, 7.63, 7.63, 0.00, 0.00
215, 8.25, 8.25, 0.00, 0.00
216, 7.78, 7.78, 0.00, 0.00
217, 8.14, 8.14, 0.00, 0.00
218, 8.17, 8.17, 0.00, 0.00
219, 8.41, 8.41, 0.00, 0.00
220, 8.19, 8.19, 0.00, 0.00
221, 7.82, 7.82, 0.00, 0.00
222, 8.59, 8.59, 0.00, 0.00
223, 7.85, 7.85, 0.00, 0.00
224, 8.48, 8.48, 0.00, 0.00
225, 7.94, 7.94, 0.00, 0.00
226, 8.40, 8.40, 0.00, 0.00
227, 8.02, 8.02, 0.00, 0.00
228, 8.21, 8.21, 0.00, 0.00
229, 8.63, 8.63, 0.00, 0.00
230, 7.88, 7.88, 0.00, 0.00
231, 8.30, 8.30, 0.00, 0.00
232, 8.34, 8.34, 0.00, 0.00
233, 7.98, 7.98, 0.00, 0.00
234, 8.26, 8.26, 0.00, 0.00
235, 7.91, 7.91, 0.00, 0.00
236, 8.26, 8.26, 0.00, 0.00
237, 8.09, 8.09, 0.00, 0.00
238, 7.92, 7.92, 0.00, 0.00
239, 8.94, 8.94, 0.00, 0.00
240, 7.36, 7.36, 0.00, 0.00
241, 8.27, 8.27, 0.00, 0.00
242, 8.32, 8.32, 0.00, 0.00
243, 8.33, 8.33, 0.00, 0.00
244, 8.10, 8.10, 0.00, 0.00
245, 8.10, 8.10, 0.00, 0.00
246, 8.29, 8.29, 0.00, 0.00
247, 8.32, 8.32, 0.00, 0.00
248, 8.08, 8.08, 0.00, 0.00
249, 8.24, 8.24, 0.00, 0.00
250, 8.54, 8.54, 0.00, 0.00
251, 7.99, 7.99, 0.00, 0.00
252, 8.31, 8.31, 0.00, 0.00
253, 8.19, 8.19, 0.00, 0.00
254, 8.56, 8.56, 0.00, 0.00
255, 7.78, 7.78, 0.00, 0.00
256, 8.20, 8.20, 0.00, 0.00
257, 8.45, 8.45, 0.00, 0.00
258, 8.32, 8.32, 0.00, 0.00
259, 8.36, 8.36, 0.00, 0.00
260, 8.14, 8.14, 0.00, 0.00
261, 8.73, 8.73, 0.00, 0.00
262, 7.88, 7.88, 0.00, 0.00
263, 8.13, 8.13, 0.00, 0.00
264, 8.26, 8.26, 0.00, 0.00
265, 8.34, 8.34, 0.00, 0.00
266, 7.98, 7.98, 0.00, 0.00
267, 8.23, 8.23, 0.00, 0.00
268, 8.25, 8.25, 0.00, 0.00
269, 8.13, 8.13, 0.00, 0.00
270, 8.04, 8.04, 0.00, 0.00
271, 8.38, 8.38, 0.00, 0.00
272, 8.55, 8.55, 0.00, 0.00
273, 7.70, 7.70, 0.00, 0.00
274, 8.17, 8.17, 0.00, 0.00
275, 8.21, 8.21, 0.00, 0.00
276, 8.61, 8.61, 0.00, 0.00
277, 7.98, 7.98, 0.00, 0.00
278, 8.30, 8.30, 0.00, 0.00
279, 7.82, 7.82, 0.00, 0.00
280, 8.29, 8.29, 0.00, 0.00
281, 8.25, 8.25, 0.00, 0.00
282, 8.26, 8.26, 0.00, 0.00
283, 8.73, 8.73, 0.00, 0.00
284, 8.06, 8.06, 0.00, 0.00
285, 8.39, 8.39, 0.00, 0.00
286, 7.90, 7.90, 0.00, 0.00
287, 8.69, 8.69, 0.00, 0.00
288, 7.90, 7.90, 0.00, 0.00
289, 8.67, 8.67, 0.00, 0.00
290, 7.85, 7.85, 0.00, 0.00
291, 8.60, 8.60, 0.00, 0.00
292, 8.40, 8.40, 0.00, 0.00
293, 8.22, 8.22, 0.00, 0.00
294, 8.24, 8.24, 0.00, 0.00
295, 8.41, 8.41, 0.00, 0.00
296, 7.94, 7.94, 0.00, 0.00
297, 8.24, 8.24, 0.00, 0.00
298, 8.29, 8.29, 0.00, 0.00
299, 8.28, 8.28, 0.00, 0.00
300, 8.46, 8.46, 0.00, 0.00
301, 7.96, 7.96, 0.00, 0.00
302, 8.41, 8.41, 0.00, 0.00
303, 8.39, 8.39, 0.00, 0.00
304, 8.22, 8.22, 0.00, 0.00
305, 8.38, 8.38, 0.00, 0.00
306, 8.71, 8.71, 0.00, 0.00
